,graphics_unigram,graphics_bigram,graphics_interpolation
file_135,666.5333008146957,0.01208867289859022,0.04669844872206329
file_136,347.458922918372,0.04891287193353513,0.1666524100915087
file_137,606.7492838499539,1.7158405890290416,4.767323730273572
file_138,253.8791452411891,0.05756230231417476,0.20317577696335137
file_139,332.4079369919733,0.05175990456075381,0.18192928622281418
file_14,231.29312931960706,0.05897915915486361,0.20707564101313514
file_140,325.1517840831143,0.09547504967760415,0.3081948021546574
file_141,305.4000122908222,0.09038986047919302,0.276661321910762
file_142,505.4691204231062,0.4911353600377173,1.5403174917404823
file_143,342.3029543384844,0.05007095311721748,0.171597909506929
file_144,293.33240647044624,0.08077903566137858,0.2620963158142595
file_145,386.8156452080399,0.08730026132651483,0.30843618260349437
file_146,171.72171104551964,0.10039142773346396,0.3152761065999171
file_147,195.8525883745451,0.12860653559764748,0.40064202610334987
file_148,199.48047209286926,0.100134859979825,0.3348286281131532
file_149,252.57909402101032,0.037778030681203785,0.14128286037406745
file_15,290.44974983401164,0.05614917017202381,0.17970774379029208
file_150,83.49770664439892,0.02736712530467919,0.1189256486110116
file_151,146.8734759098284,0.057107767251684566,0.21583231979556303
file_152,182.645215099758,0.04170451865553642,0.1540457171767604
file_153,258.857368375516,0.038787129119161226,0.13164197816687506
file_154,215.39429805606719,0.06218448391861811,0.21693217521324382
file_155,238.51664890723748,0.05264091001592725,0.199572370525597
file_156,186.08619689305354,0.059776829553601335,0.2047745347048932
file_157,548.9398261916815,0.7202653261711371,2.3052628472583616
file_158,337.2837123001563,0.028541836492002166,0.101802528103652
file_159,366.46035316089274,0.04324373513754282,0.14658181667625603
file_16,165.13930846893948,0.11118698503711395,0.350761357006429
file_160,245.86883617282135,0.2809659510421883,0.8425818443215923
file_161,185.39539412885142,0.016691116928000353,0.06313301022875194
file_162,268.36982897052985,0.1092930511391178,0.33875364813853087
file_163,123.85961928534815,0.08068911218429944,0.26070181641785867
file_164,336.25047924085163,0.05492403822463142,0.19724620776855128
file_165,132.68226318855466,0.11735278307266138,0.46113894544739065
file_166,478.6171347353553,0.29561310444974104,0.864711373599724
file_167,238.98048634374828,0.09677623094041798,0.3259630314488168
file_168,271.6778519817677,0.08959245573408564,0.2899517830133136
file_169,206.30309048193195,0.04423038673664804,0.1554198600222636
file_17,241.44392753953844,0.07968735889706116,0.2594733076037126
