,motorcycles_unigram,motorcycles_bigram,motorcycles_interpolation
file_138,203.8077139567289,0.04801833100631356,0.17761981059244067
file_139,452.40706520841843,1.0525862935518018,3.334939999067754
file_14,182.33004119318548,0.03789282666030345,0.1382899785181356
file_140,388.58154338128367,0.11965006063020388,0.380768760423927
file_141,262.76704327981645,0.06803158737681737,0.21694473270737502
file_142,277.16849897159085,0.08092811674621753,0.29202445311543274
file_143,226.8948952056424,0.07842017969184446,0.2403845064880688
file_144,226.00641503825523,0.04072603033081375,0.14507133275543938
file_145,256.6234297940237,0.04707831123977117,0.1588536022991907
file_146,135.08266186139232,0.14538540237188763,0.46597858952190974
file_147,161.27942862569537,0.12376551388304252,0.37965306721394276
file_148,269.7001798925406,0.06834872605097807,0.23267982501041554
file_149,172.87674483309624,0.04728643798313114,0.17695004926188104
file_15,353.72160361539494,0.04914145453636422,0.16806963990425028
file_150,121.82589593351426,0.023012325284214773,0.08806976240494878
file_151,140.56741663785468,0.0902522082314694,0.33582299015033085
file_152,133.17597055879787,0.03749220933616127,0.14511261584530072
file_153,217.11892648303592,0.04468192099796309,0.15280957322425673
file_154,209.38404040197318,0.057835646465412165,0.2023084487078328
file_155,377.242041064805,0.07771600672030934,0.25864616273741825
file_156,293.31605544708987,0.08576978595250812,0.2836133740248102
file_157,111.99499647517513,0.046157243307034454,0.18963893293750603
file_158,283.34417754303274,0.02898533059630006,0.10171716751423564
file_159,240.63962473971932,0.05776076051561379,0.193518204029693
file_16,163.14611599336465,0.0637174672372161,0.2143502339325368
file_160,220.5505958620086,0.23494047407900198,0.6819873293376778
file_161,204.85708486428084,0.011845835826182214,0.04721387356078156
file_162,225.78276883596592,0.07322857875546132,0.24413712108161617
file_163,127.42930635205855,0.04454405077871339,0.17022268227872533
file_164,282.24542703093925,0.04102420973563514,0.15408636535719458
file_165,188.2111495182212,0.24057767432015575,0.8915474785453713
file_166,200.014963790976,0.0634013624175176,0.22414207367274613
