,autos_unigram,autos_bigram,autos_interpolation
file_3,175.99090118773844,0.032938083931201616,0.03824056833112895
file_30,182.96731371886648,0.030256649911606526,0.03526429587634501
file_31,224.3081166173168,0.06256819119669921,0.07209362452236175
file_32,519.7217125252552,0.6678223812249474,0.7270092906652221
file_33,239.80189008710494,0.11511205990781762,0.12757365487525496
file_34,178.38086584895473,0.0856360815491414,0.09731427401627879
file_35,225.5593378698788,0.10329531281356145,0.11734262468245409
file_36,200.84255977048193,0.07040807897947425,0.08520924333829165
file_37,294.42838620918343,0.043739569958157504,0.04842437729972872
file_38,271.4523905885542,0.051353617074359884,0.05913086141137277
file_39,210.20390293181921,0.04799863831072158,0.055798345347652045
file_4,204.82226105350688,0.05210859177947157,0.058905927606155914
file_40,240.65866111171192,0.06739644778790438,0.07664844798492332
file_41,302.6640722343892,0.04828800856745352,0.053769760471715514
file_42,179.70929697037556,0.03581110914423842,0.04108309293331964
file_43,233.50401341912263,0.045212833974106706,0.052366357139386456
file_44,312.2975932662828,0.14977966952635569,0.17008230341037656
file_45,283.9650181806278,0.05805890565840967,0.06593832556160499
file_46,267.9198280218198,0.04647433826341077,0.053508710639963375
file_47,177.63823719239363,0.062027342478170155,0.07145227314647526
file_48,323.80972047479503,0.15516618860846224,0.17215047116044435
file_49,289.93980344011567,0.07072866375779331,0.08069128125333197
file_5,368.54142680413736,0.17396714622286757,0.19479839888182143
file_50,295.5207690334198,0.07084665704978084,0.0779067407641724
file_51,250.75947755510813,0.10982734615749491,0.12444869426585158
file_52,247.99507615101842,0.05356710239829996,0.06107752406491516
file_52,230.69901599571023,0.22982913788425055,0.19271687915543365
file_53,228.04335813372703,0.06598744932412764,0.07548827270869427
file_54,270.7958245177229,0.07309862800750783,0.08282741330157675
file_55,287.16960325230485,0.03529214157932858,0.0400717444974322
file_56,336.03405716274585,0.20464692428121584,0.23243613698964175
file_57,240.1793475895093,0.11183492311294707,0.12349003447790548
file_58,215.1291545972794,0.12455379822154371,0.13566799680216282
file_59,196.38912629884422,0.03823042485427091,0.04392315911474841
file_6,455.9203664475025,0.3007509650644025,0.35169159766624836
file_60,297.7819818849491,0.09359432639982797,0.1062818942699896
file_61,226.79921959079078,0.04780132820192481,0.05497741917388784
file_62,254.92502170250734,0.4514028409813759,0.5340801074083513
file_63,177.0505976443118,0.02566825321857486,0.030544356269363877
