,atheism_unigram,atheism_bigram,atheism_interpolation
file_5,303.84826808457854,0.0445946593617064,0.05008604990319782
file_50,320.2284355683839,0.1199721512901144,0.13136839502750497
file_51,241.2007804770301,0.20235442315363555,0.21692662703421792
file_52,286.8700643905124,0.08919551778006628,0.09717350789589037
file_52,328.3569655650118,0.15708300947442075,0.14510831133283145
file_53,432.30713906297524,0.19328461794016444,0.20604395928799724
file_54,298.8191541289601,0.10080242766941132,0.11113031073114991
file_55,341.9146565745144,0.07804408628030962,0.086045561582372
file_56,208.19834586181275,0.051020823985543896,0.05880869089385804
file_57,242.1555040139396,0.08347553290656572,0.08724350488203952
file_58,405.51226735258723,0.4253167957668638,0.43560626586273354
file_59,341.2131934767954,0.13670508643667426,0.14640795980011262
file_6,260.30638712586125,0.0638096949189168,0.07485600071765071
file_60,479.8268094562493,0.4618168345767991,0.4945225926387654
file_61,352.28850717471823,0.05672158285024335,0.06345354117391122
file_62,399.94422528894285,1.6568784261756588,1.9216541705076988
file_63,230.78976725747077,0.02471170134660775,0.028608260939652606
file_64,207.16402415043558,0.05902276586514771,0.06920944975895206
file_65,180.2770078924844,0.04128256659853214,0.0491286666973442
file_66,339.25966436533326,0.029624332288540244,0.03422464155407006
file_67,448.7845315202021,0.16301978247014723,0.17821794263910842
file_68,336.57387439692695,0.08784132959869212,0.09704130652558703
file_69,204.48893408944895,0.06148435647582347,0.06828722299356967
file_7,222.26991313133067,0.02169016999192072,0.023966398787581656
file_70,341.5202337338615,0.021143324942783353,0.023763957365768716
file_71,509.26861983566033,0.009528889916543198,0.010187916389487328
file_72,301.9866341948857,0.13606102728059222,0.15294112953907057
file_73,193.4281592768683,0.050583219281489,0.0596132423704775
file_74,283.3177805768854,0.0964953070929739,0.1082748934895878
file_75,291.0862705711348,0.11411664965667834,0.13398401831811124
file_76,164.0412630213759,0.014370755059673198,0.01677351937874132
file_77,320.10194696774784,0.120580897401521,0.11726421409708661
file_78,193.95212138011092,0.025888432275469126,0.03062362767916262
file_79,257.282041661462,0.06413667563511917,0.0686207753518279
file_8,351.70115506799584,0.06179530224354087,0.07091062075729454
file_80,233.2985616038469,0.14319813572225198,0.162755336499315
file_81,280.7050596210699,0.08435642852813238,0.09515649917557475
file_82,229.68206192171803,0.16822891434459453,0.1800188514543149
file_83,332.40758953541433,0.08084687022773701,0.0918886544183021
file_84,321.40230969454905,0.01924854286954555,0.02219165829573475
file_85,370.7044715062538,0.1320907662719904,0.1475302126533911
file_86,192.62486016807512,0.03549511906340091,0.04150144296636866
file_87,231.28008687708225,0.08787589761081842,0.0997955004297018
file_88,495.64390203783086,0.1963748271865819,0.20928101289619577
file_89,253.65824288482392,0.03224175135516205,0.03722887784399342
file_9,262.92489164733894,0.5110391819636697,0.5378423384661652
file_90,336.59572328209555,0.03577506764507496,0.040386538659894236
file_91,180.9387601855259,0.03216795727133034,0.03844925831159449
file_92,452.35823983911934,1.542209183339726,1.630911775836685
file_93,463.57501666554793,0.1764631244188848,0.19417589078922073
file_94,250.4733727762334,0.08552956995095219,0.09568347123981527
file_95,451.8373730122923,0.1457441938094053,0.17238072275069555
file_96,262.8927524873226,0.09185482582802056,0.10314597173336765
file_97,303.42728966002784,0.022606504912749573,0.026613435694224055
file_98,499.4175963336962,0.7577919078044767,0.8587782375402693
file_99,156.4403958691938,0.04077891123832258,0.04800655728549114
