,medicine_unigram,medicine_bigram,medicine_interpolation
file_14,285.6458629910027,0.07834921419351991,0.2596722046162639
file_140,437.90586555444,0.17412368141661885,0.5244028587649942
file_141,278.403069398961,0.10677942018802895,0.3401442934920567
file_142,257.16155377125494,0.09879640649633724,0.3491905154621134
file_143,336.70966858310624,0.04710948127478492,0.16076551403132516
file_144,356.6300946235826,0.049387550337543676,0.15959110724801917
file_145,294.7336876269425,0.04337778988922286,0.1550470823921932
file_146,460.40531876835763,1.1241614964199969,3.1526875159367935
file_147,207.21913100062775,0.15100657055081068,0.4466250451749258
file_148,284.04613666708616,0.12041179486958699,0.4032532367883676
file_149,409.12424742132106,0.1041156005255192,0.3433280188774945
file_15,343.7243812342904,0.04154090680902122,0.13501291200955792
file_150,157.96176976811617,0.019992664826993176,0.08140684904519427
file_151,187.8297011042434,0.05353156119356292,0.19753457204968541
file_152,241.98168377831547,0.028490626108004836,0.11103975638905574
file_153,268.4608134783308,0.036671673572162375,0.1202966374706741
file_154,261.3049118803667,0.0730328688934052,0.23110356692355938
file_155,278.2718798353457,0.09468532066228721,0.3498663999009013
file_156,246.15437121360867,0.039031227645160566,0.14467353331124133
file_157,209.3882658541335,0.029096576402297878,0.11960140796302704
file_158,294.6374772890922,0.027655315250211022,0.09905255560642444
file_159,300.6665283451713,0.06828934407030904,0.2185810331480509
file_16,237.077145717608,0.08163566409542189,0.2572839487646041
file_160,251.53697324246647,0.4152849260201741,1.15711927105555
file_161,213.82455041193248,0.0201951187807669,0.07056514785885883
file_162,310.0043732832216,0.07560715334637116,0.24320444031508684
file_163,175.40535648521222,0.04308692005453079,0.15996917140573727
file_164,502.67692877985,0.1122398231869464,0.36294631412626904
file_165,135.50939218295716,0.1273919952371579,0.5298611128410757
file_166,285.76872694418245,0.08810672450565214,0.29471590640347606
file_167,285.3483724324602,0.07794432939037306,0.2622854049994196
file_168,357.40673950391766,0.09562286792232322,0.2878459289973124
file_169,217.27820896129623,0.0511396413208637,0.17780679685301207
file_17,279.24252724848236,0.0698503585782205,0.2340159447134841
file_170,375.9365461099045,0.15909751033317715,0.4579814769920787
file_171,284.57979159571687,0.05475138377449894,0.18659261497701893
file_172,325.11023476729173,0.05264608350298326,0.17912868853384356
file_173,271.0170348423816,0.09754331622274777,0.3102092958509286
file_174,308.7495627560307,0.09106956110473108,0.3021633715503133
file_175,433.552505782553,0.14973578654421943,0.46172203399051365
file_176,404.71296398132625,0.04700598376407806,0.17685185506285564
file_177,223.86949357236878,0.05551195047737687,0.19395430154361035
file_178,330.6480881765939,0.08220355776675177,0.25100385387786533
file_179,259.2594876524204,0.08583500932349951,0.2782713597327803
file_18,206.11248665617677,0.17473382402690757,0.6065899566385147
file_180,162.53744002638655,0.035431456673993736,0.13228719686823726
file_181,242.20303494983287,0.02353896395841144,0.08460870869945596
file_182,394.3791314901291,0.21792710244657024,0.6497787846376089
file_183,357.8866273613003,0.08407879514866737,0.251782300163938
file_184,209.26667733917225,0.06614003314002709,0.2278069621876183
file_185,321.2419865613883,0.06491810060428789,0.217886611889637
file_186,450.5160630777984,0.17251209931780703,0.5526503314282258
file_187,335.3614847110484,0.08036190511102885,0.26685979895274875
file_188,358.0686214021225,0.08310475250423743,0.2833556611410633
file_189,299.93129531982095,0.1409122868629179,0.4376671104373343
file_19,341.3805259629397,0.09771892032943663,0.3221891385449689
file_190,445.1298850090639,0.14996665432372974,0.46196065771146955
file_191,391.9978897335588,0.06162953885502311,0.2100320435386693
file_192,682.3392190951057,0.35614543227780027,1.0075665053644063
file_193,294.9168280652459,0.08887402217120405,0.30801168861089717
file_194,356.6494259354367,0.056716329432668286,0.1805364087506502
file_195,333.4313061124153,0.057200455487181,0.20155167983745506
file_196,439.9695167034805,0.10613582946394642,0.3134084726978916
file_197,214.32958218275516,0.047597094852826705,0.17265253356240026
file_198,413.94773856385706,0.036553395669302484,0.14548507036825217
file_199,271.14536528361936,0.1148412796472275,0.3541023821956805
file_2,159.3934344558269,0.04841430059247602,0.18158633166360613
file_20,173.1588577584371,0.08921335045270419,0.29534851757429753
file_200,296.6932324212111,0.1825074553529031,0.5933525405805722
file_201,594.3971876086501,0.3705433999109152,0.9738677247904852
file_202,309.94812844030804,0.09254484268374678,0.3017750878392706
file_203,301.26551486391793,0.07710845590295413,0.255752411223507
file_204,266.3674461513628,0.04769107005698276,0.17048607866986568
file_205,266.95751819260903,0.05506915786619761,0.19893054001248597
file_206,212.08996862114233,0.08862979812117888,0.27739280956614903
file_207,447.74980126208345,0.04213083075217603,0.14157320087346767
file_208,435.72496995045714,0.027150705948380465,0.09841560278184518
file_209,335.1365970853574,0.13283103138053062,0.39627733965625883
file_21,264.0727760053873,0.07181152083300799,0.24536785586732887
file_210,427.3457563047123,0.12103021854721706,0.3206558791194752
file_211,299.47718217651766,0.035679801939317336,0.12368915145828495
file_212,407.58659113661173,0.04064285800754689,0.1362421485626357
file_213,330.1749364991384,0.02539519194091823,0.0916766032677409
file_214,212.7599225133045,0.027336601940886135,0.10029065434607409
file_215,344.16876312942594,0.06396536303200083,0.20325633371094728
file_216,711.8355280045888,0.04426495532308008,0.14720138080110695
file_217,393.94842302396427,0.08641988592887247,0.28644584850176974
file_218,314.11657951579537,0.08059472931536099,0.2547044298389756
file_219,356.82667112597494,0.09961309305845355,0.3199913009622151
file_22,225.31023917398667,0.016206435295422563,0.061941819025354124
file_220,148.39020603938033,0.04715901160675377,0.167132220387947
file_221,303.09890689960235,0.1055620841233775,0.34313819458505773
file_222,422.9289229673902,0.11586551017508885,0.4034412631262841
file_223,251.341085682429,0.044650582411678595,0.1578805656905986
file_224,317.55678808530536,0.11108957750335809,0.3289092475482877
file_225,319.4480190930721,0.09581653582392612,0.3254388500995162
file_226,324.11203290268503,0.0547504416035964,0.1668411121242272
file_227,689.3901604309101,0.9124795944119313,2.2887332005628593
file_228,188.91699645016794,0.021565416856672223,0.08694537105806319
file_229,388.5491224079957,0.09500674212611904,0.2995246316015035
file_23,340.3554989172622,0.09592602537873353,0.3098114120979048
file_230,304.56697326485204,0.057753046603663254,0.18598851159291988
file_231,243.45420059713314,0.10970536350221058,0.3835239266888651
file_232,376.7967693784258,0.17835141237405627,0.5174768785708925
file_233,356.18309655770446,0.07884711676952176,0.2512941990099972
file_234,291.16025807751504,0.09638964522210836,0.3012084262361622
file_235,338.2969679001526,0.07209701474798351,0.24118589648498437
file_236,229.68484422610086,0.20436749510695887,0.6069861789369517
file_237,488.0133891286359,0.06560293397654766,0.219515356087376
file_238,248.52553704776983,0.11545443799525217,0.33473110674519946
file_239,140.94764069146933,0.12702262372132941,0.4326843305932696
file_24,327.7283220865474,0.05779198941259144,0.20885247543219387
file_240,302.26028293115417,0.05658287861686226,0.1873125623970581
file_241,219.66882387945148,0.1052151872796605,0.3225160747037457
file_242,312.2904028388541,0.04676373888507606,0.15382455480561255
file_243,510.00181453866026,0.049899718000911815,0.16603439659027194
file_244,360.90876149625603,0.04604502619629755,0.15457116924926737
file_245,225.9658249623676,0.04277837213041382,0.15755129869489487
file_246,274.1606330837417,0.054194024840130445,0.18633968212847432
file_247,261.17922874504103,0.06762744900283939,0.22369878572533486
file_248,252.72277891684743,0.10543781213982638,0.3612073133853677
file_249,267.66513268514444,0.1179231227311579,0.36592174221255513
file_25,162.92211513987428,0.017278830942837727,0.06944676939653517
file_26,439.33086730762074,0.08334208024519356,0.2612288144915914
file_27,369.69770672831373,0.039963539004000154,0.14085003824171258
file_28,280.4616546718622,0.1478457862571097,0.4766198112801975
file_29,396.65617251667976,0.07525937513548296,0.2444384252359156
file_3,465.3051154238482,0.06662270877556813,0.2220498550002763
file_30,229.1423702070299,0.027541935465300312,0.09937765092270383
file_31,188.20259208613405,0.0671957192214278,0.247929807543769
file_32,231.9471223479908,0.05702082714462253,0.19961765319738534
file_33,244.80992505210938,0.1382026343923959,0.43096024390968174
file_34,227.23768240210728,0.11413287143872627,0.3567613563154825
file_35,277.35665476463606,0.23135389864698686,0.66976211688845
file_36,258.64765866588175,0.07471289317707841,0.28687645670224365
file_37,240.77851643216067,0.09676759529107276,0.31878182606164857
