,autos_unigram,autos_bigram
file253,502.5643285963062,0.0009093613166504656
file254,258.589582228697,0.0016050102252341473
file255,433.43832488756584,0.0009889159458389425
file256,638.8401250063267,0.0007438590210157285
file257,392.67009888748686,0.0011326366054743684
file258,290.31936444339874,0.0013811674433156123
file259,407.1915623421141,0.0010835284043002752
file260,323.36367177583094,0.0014640180205064712
file261,412.3356537215424,0.0010145356634645806
file262,350.02367831206107,0.0011327450638657411
file263,355.65795607133526,0.0012358457733985303
file264,351.35637298455856,0.0012628163262753732
file265,464.29959817708334,0.0009201257142911731
file266,370.15314631977066,0.0012553939308010632
file267,362.16589272236536,0.001275908368943933
file268,389.1444443880936,0.0010290444966915091
file269,419.91328873902074,0.0010944297541275773
file270,310.4905186422571,0.0015790927090897655
file271,403.1016336015442,0.0010271863193674297
file272,252.3755074534317,0.0016429963908777304
file273,398.25364146674764,0.001070862197727736
file274,301.7121401137583,0.0014454564697075174
file275,360.8059528180965,0.0012534958106043415
file276,348.77136182690464,0.001261935741298169
file277,668.310447278507,0.0006614125806989378
file278,387.03668519516117,0.0011080351071769594
file279,294.052418463659,0.0015133270145559197
file280,348.9031644986167,0.0011853324203452648
file281,432.15297817972737,0.0009794958929014968
file282,401.2669155349378,0.0010290322531544477
file283,206.54302276325888,0.0020424740624428884
file284,287.3810603328273,0.0014895224786730826
file285,574.9009614679568,0.0008446031707098175
file286,374.55831833944035,0.0011683210839609408
file287,445.3598569341276,0.0010883678137594442
file288,352.8533705002141,0.0015333498610056832
file289,282.5862438866326,0.0015285537131283166
file290,450.64258559253057,0.0010257381140623936
file291,503.88991819694616,0.0009016817854181593
file292,367.99034535504256,0.0015202662485769517
file293,433.44868338777064,0.0009767905176567262
file294,351.4833105836053,0.0013024470420111133
file295,380.4156952801095,0.0012581683315446852
file296,646.9633047614266,0.0006799523496823325
file297,506.81182489230997,0.0009019500010504095
file298,259.62797534502823,0.0016583566691021339
file299,575.5791490708275,0.0007776028016455265
