,space_unigram,space_bigram
file269,455.635297539742,0.0011244020992053317
file270,486.29574853291234,0.000854302919968291
file271,532.8722926620012,0.0008046053963543681
file272,428.9211602522084,0.0011454542755461507
file273,501.6404244083454,0.0008821126935327623
file274,628.6023960975576,0.0007211460773786304
file275,506.3155734079042,0.0009349606537021846
file276,355.1311784052591,0.0012963288406461335
file277,566.8257145326107,0.0009140556770527898
file278,267.27347067363183,0.0017370577296848021
file279,570.6425166842672,0.0008193708772260867
file280,703.8948673326208,0.0006228544342537121
file281,537.1088698901139,0.0008791307242613226
file282,343.7708224381747,0.0014288639765828667
file283,422.7847071692809,0.001245177599800421
file284,355.64869655460296,0.0012837807076562502
file285,356.34036220212136,0.0011973181622338548
file286,896.8649693673971,0.0006336167266648913
file287,487.98747496610724,0.0009573183127280384
file288,362.6002283876645,0.0011770753639181418
file289,625.3503696101642,0.0007893556910219825
file290,738.3458148200738,0.0006099546804003564
file291,588.5687805018549,0.0007623802091143119
file292,545.9141587991519,0.0008136143470627122
file293,645.6812520733881,0.0008194736195159403
file294,597.2769863852408,0.0008078424144739937
