,motorcycles_unigram,motorcycles_bigram,motorcycles_interpolation
file_231,217.3223112614739,0.05390672122015718,0.0951198911708209
file_232,304.05346464187187,0.1322827098211261,0.1999050312007875
file_233,223.9037229635037,0.05975839524748238,0.09633258137025531
file_234,234.4476148943834,0.07401420058131401,0.11910477647444723
file_235,251.58194306859244,0.06274864769704727,0.10182231947405522
file_236,198.66170990700675,0.15439977246040723,0.24480740448677946
file_237,251.7661014062254,0.16373271779701493,0.2535459353496842
file_238,166.01398231942196,0.07135111594456045,0.11885405449617537
file_239,151.1904220851738,0.08649964135308688,0.14792368320854848
file_24,210.5839194314708,0.07867540187283725,0.1256045435611127
file_240,201.34181400469203,0.02839643199780624,0.047463743313103234
file_241,210.89092679818833,0.06456821302675496,0.10359998979151981
file_242,285.1325834262549,0.04083975541356321,0.06588007556913568
file_243,344.28371759664185,0.0330908570401038,0.05532388848361072
file_244,239.12102841783496,0.04729790195225851,0.0791546201515921
file_245,154.7426820188372,0.05398562218808602,0.09597671834556462
file_246,180.14087479105902,0.03213891850347204,0.0536122420390473
file_247,320.85190608285615,0.14133097557672067,0.2206146989640398
file_248,214.77159236685836,0.09167550276640168,0.15491539094938364
file_249,423.32808304641895,0.2159127001420391,0.32910420812042246
file_25,121.42075262235389,0.051684144876925804,0.09005144326119466
file_26,308.23062767132643,0.062044905226262374,0.10124620085406552
file_27,248.45860460782703,0.018364153123321503,0.03318282346847739
file_28,207.0384009033574,0.15350688812963365,0.23796935815351714
file_29,424.4603447730844,0.05521377289141646,0.08802587212970776
file_3,188.38703948541706,0.029125036696324214,0.05011998470818399
file_30,147.36026553521216,0.028433882070968267,0.04869699628712358
file_31,237.48071964242132,0.06642351454066783,0.1087778106755073
file_32,386.0091805319295,0.05112091180809418,0.08197627873795751
file_33,236.83865259253625,0.11961284604983279,0.1917095073201003
file_34,207.94870696752247,0.0680810989083826,0.10827437663253198
file_35,270.30278490102495,0.13800657457697127,0.2042711929968174
file_36,182.59032667715297,0.039906243499202465,0.07369218444475387
file_37,213.27823841007287,0.035260887687889486,0.05781101316353576
file_38,307.5643164160749,0.041511610319148726,0.07013590840701632
file_39,262.9399990769355,0.04345466048429506,0.07494274928831092
file_4,200.59276558317023,0.03835132212800293,0.06242817243483829
file_40,252.30612238651935,0.05882694178807082,0.09445048351642825
file_41,309.02911098708955,0.05598993979549666,0.08867517270242893
file_42,121.33562249009871,0.0558247892183501,0.09447636584539564
file_43,199.33486197776983,0.04414604147381686,0.07195384219117885
file_44,304.3915038354261,0.10984762386061107,0.18102873181769616
file_45,292.67083723517055,0.04678358431344643,0.07606653879870443
file_46,193.35824128187173,0.03677412621453038,0.06264895931614281
file_47,172.38027978772342,0.08474592682399636,0.13479361714870314
file_48,375.5620706228359,0.20038911976129875,0.3009367263629102
file_49,274.91898579803785,0.043018366912484646,0.07232998494518277
file_5,244.02432991835602,0.048585594270234136,0.07943474209639045
file_50,281.7279070673819,0.04909351180252894,0.0788454079310702
file_51,245.37849710320597,0.10545406514508991,0.16655463490093161
file_52,314.11242145009857,0.07751569429152695,0.11784414225928619
file_52,1132.7710745263512,0.20861012433358436,0.24709939868927192
file_53,204.65183530798726,0.05558533842119094,0.09225911897735538
file_54,436.6534637695989,1.046343440597155,1.5593374059115162
file_55,255.0713155808343,0.02913785225157153,0.04846389172574056
file_56,281.13688622342806,0.062110678240947764,0.10069096780900669
file_57,220.7158723659231,0.08974084894868133,0.138880664373382
file_58,229.4193907528751,0.1196334251955252,0.18583437521617666
file_59,210.9241996046969,0.0443043168178441,0.0727826608457012
file_6,284.0376722331768,0.0577956313916473,0.10040102461453454
file_60,290.029465439971,0.09142842803536574,0.14565610262267079
file_61,229.66047567456596,0.035921923049781,0.059226933351605386
file_62,444.3041016013618,0.5655856944726978,0.9906668514579876
file_63,177.836129768899,0.026760290555572715,0.04764729173450478
file_64,162.26956843155114,0.05147001659916286,0.08943816915677491
file_65,141.10463895521806,0.04689025490119644,0.0834541484111102
file_66,316.31291122875274,0.03288459298049237,0.05479115677745009
file_67,234.48212150721926,0.07162209941023534,0.11842103119940282
file_68,261.45181672174135,0.07292067497883536,0.11964153364920709
file_69,176.05233540565925,0.054362524935223706,0.08866430748051689
file_7,667.1200444747943,0.13083545174663375,0.21032043390499053
file_70,387.12821604446526,0.01847008161890855,0.031110156943955223
file_71,582.0133683906924,0.021390582933930345,0.03477765726518345
file_72,129.84954232203518,0.14574114109445918,0.2498600821242049
file_73,283.28558390946694,0.14781941574323199,0.2430636594863111
file_74,204.748071730286,0.06636002123013629,0.1128586344186082
file_75,263.71310848246935,0.12180279093467788,0.20694411764933784
file_76,110.91584767664726,0.017784049254005726,0.03208204750425532
file_77,343.37286447635796,0.0507994862224486,0.0843009348585029
file_78,266.0534622875001,0.059222006898956826,0.09655916921638419
file_79,220.49992078426322,0.0647575835733277,0.09774897282965161
file_8,288.8729409551835,0.05366443630819063,0.09155578865867477
file_80,201.5652642711534,0.1032187242793388,0.17609022066685184
file_81,259.9889297107725,0.06401561425210882,0.10645541244955699
file_82,163.62576755900605,0.1970996908425757,0.31322858617805177
file_83,259.1798507521898,0.05753963978060186,0.09499366464383222
file_84,237.33064196914822,0.058601629424615866,0.09476390357020908
file_85,344.556600355806,0.12440332136473788,0.20609625365642142
file_86,172.83298056409117,0.07215143855330039,0.12211638642310144
file_87,196.38574147368192,0.031301341473155574,0.053778051096616854
file_88,263.25626494824274,0.05102517695229116,0.08220131028655005
file_89,215.44357441865995,0.08568024919300778,0.1403075297213938
file_9,181.2891001996095,0.11848862092722788,0.1856434284167081
file_90,636.1746767601081,0.7792206329229859,1.1916052148190404
file_91,167.20012257717332,0.04006204983386562,0.07106532426972689
file_92,249.8657644816966,0.16265585940207725,0.25206793521983206
file_93,355.7831317559944,0.10614656665265577,0.1704517262591373
file_94,478.73258186691606,1.5250086326433112,2.203697152371563
file_95,314.1186404042971,0.10951847580037558,0.20038227093704075
file_96,204.12950119393236,0.048461320765040866,0.08407550857905909
file_97,735.9045703816386,1.2755403209370852,1.947570875312159
file_98,369.3653343254878,0.19937337003913644,0.35726171209988744
file_99,144.28477018732275,0.08571664878861841,0.14613320645642872
