,religion_unigram,religion_bigram,religion_interpolation
file_195,207.7667614380962,0.053761161858097,0.09372224034852036
file_196,599.0529165402429,0.15776998583476629,0.21664572831370424
file_197,294.4517846339298,0.03139599549380527,0.05194301282271695
file_198,171.61062014788018,0.01901227175015505,0.03462350256710961
file_199,292.0227628580685,0.06447390283489224,0.09531375397737626
file_2,156.59824011793611,0.03963235192650858,0.0673947398904161
file_20,209.77725757834844,0.053039574071221576,0.08346905806813365
file_200,376.19318577321326,0.13021488719207677,0.21310956370949324
file_201,212.73687754543752,0.07264480266285783,0.11750470902544963
file_202,218.1386825691036,0.05623881420507052,0.09303017867389425
file_203,293.0483511404694,0.0533813649739659,0.08231573367733266
file_204,246.27682203680786,0.08463853694636757,0.13370354988428518
file_205,329.2888969540811,0.045732249088118924,0.07115289506070978
file_206,179.30505387364394,0.17979318931734928,0.2674755054050415
file_207,457.4115184788044,0.07881273088633713,0.12108906996749967
file_208,282.33818175790134,0.03618886169410939,0.060608491762578216
file_209,555.9738797285555,5.732889095283705,7.175622250531462
file_21,254.54077084686966,0.044761602714213526,0.07482779894532064
file_210,603.9204822928176,3.1117277068490976,3.921017289074149
file_211,224.92238485578767,0.04709405336708808,0.07655821796839041
file_212,287.79793708565865,0.02134798216232119,0.035326619061559775
file_213,288.5792142927612,0.05667317590787149,0.09189618910928196
file_214,203.5338765633016,0.03401022496385002,0.05603377738418711
file_215,431.5944801953423,0.10578607838578731,0.1585269839819705
file_216,629.8400031617853,0.02339906084314383,0.03688027736001176
file_217,315.9916622173515,0.07487204599487753,0.12134560102739547
file_218,403.3630299853552,0.19102985231390981,0.28327000612922065
file_219,416.72626182652414,0.19533530509233596,0.294294081773261
file_22,199.88629384455518,0.015077033628269343,0.02601088857836336
file_220,160.3272544715958,0.03312862640606011,0.05449691182535899
file_221,422.7676262320829,0.15327673714435802,0.22723454749701022
file_222,226.70197884337128,0.04049148199477537,0.07330294149718497
file_223,251.07455055386515,0.0290719134915888,0.047203970425320964
