,space_unigram,space_bigram
file_224,339.7074955166763,0.09272833412679266
file_225,366.2767090852156,0.06544486842643309
file_226,326.0339235505982,0.05340149020316937
file_227,267.6364592790699,0.08015123948667736
file_228,171.2124599833643,0.027597099975544638
file_229,394.4834722362662,0.06195921034268835
file_23,355.93616653614254,0.08000835163974485
file_230,347.7355551551782,0.05704489041907566
file_231,268.27441127339154,0.20048935723456476
file_232,359.3662989451808,0.17940937238123136
file_233,242.05985676225833,0.0938202898078258
file_234,344.7177763833606,0.07876950094999924
file_235,354.8842005763301,0.0985540897213399
file_236,300.5392020162465,0.22628574415610844
file_237,360.96446204989405,0.0424657960671958
file_238,270.09370415351,0.08060499032938119
file_239,216.0416277938358,0.08096860537970545
file_24,247.34089148815406,0.056131615681565286
file_240,241.64229496722083,0.04104996497989749
file_241,232.5397745137449,0.08462143800982266
file_242,373.56144514614283,0.0343315717189061
file_243,431.8776507504968,0.032183367343723485
file_244,245.77827908570535,0.057053631801543894
file_245,268.40498104320164,0.04471133697360546
file_246,389.86839382770677,0.0660011612165053
file_247,317.1010141499087,0.07325227170801982
file_248,579.1120539008224,1.4393976238074626
file_249,287.2076482668879,0.11581888527346078
file_25,157.7416299874668,0.038901052782249354
file_26,541.9058419335581,0.3537261649905442
file_27,310.56168836012364,0.056583251804141005
file_28,294.7493543084395,0.12219156743693683
file_29,401.2237475553696,0.08933315781422649
file_3,221.06988807445157,0.036882480389457184
file_30,592.5085180156142,0.07780440722415297
file_31,211.8447630862291,0.07335907038065914
file_32,265.3978351954237,0.04623020054275446
file_33,331.0367783222472,0.10507234021581885
file_34,262.33776880406856,0.13192364122300285
file_35,331.22157438894106,0.0961858206383184
file_36,332.3612162837881,0.04836276702823783
file_37,263.18362487120726,0.0940045699692145
file_38,364.11367261282044,0.05788203529036127
file_39,280.6954083879252,0.07273568575809236
file_4,288.62552971185676,0.06972620384982726
file_40,303.3925664866099,0.07605026577243869
file_41,649.0639396769022,0.11218460682246921
file_42,275.90401535379226,0.02596825404260062
file_43,291.0779027291937,0.06303566904215505
file_44,337.56877146061544,0.18666977857360306
file_45,437.1451681979575,0.06800106764331885
file_46,296.66602065099033,0.050134037881029006
file_47,270.31421433876665,0.4634221208023076
file_48,446.84958689080435,0.17340016781548684
file_49,509.39516844759396,0.22549521470304132
file_5,317.6823129167496,0.0414761469335796
file_50,468.97714397720466,0.4213069423410386
file_51,305.7362251385039,0.16400708617266055
file_52,294.0538116851039,0.04999136924914554
file_52,184.26884398036125,0.1982101011116674
file_53,242.3697363802921,0.0752069378428048
file_54,294.07386193576724,0.06488258385516116
file_55,387.44448525330955,0.03288330067316308
file_56,239.8019781748557,0.053879825866317
file_57,384.09092831224217,0.2899304138685257
file_58,285.3169373772816,0.12649022624334874
file_59,259.47695105002686,0.05774981484880176
file_6,341.3849571987526,0.036988520533349445
file_60,372.31987297368516,0.09497760214913721
file_61,281.67199951089117,0.051211199621063026
file_62,405.14584015268775,0.5754680072190361
file_63,211.2789158429235,0.026963729105275804
file_64,677.198730055283,0.632165739080683
file_65,181.06532663438708,0.055104103175950166
file_66,291.0529752239949,0.024326539984373452
file_67,306.1558326340609,0.05516188422220644
file_68,366.85659772722585,0.12600832773651907
file_69,203.39725788546258,0.0616906736333595
file_7,411.8775474066278,0.012724089492695989
file_70,347.3834410285623,0.019270830616511615
file_71,2067.095807049006,0.4463203282763734
file_72,231.6061598965301,0.3177152611039242
file_73,235.30167596607188,0.077062378057671
file_74,310.59058154517624,0.10162809605654298
file_75,320.9553605106029,0.22051341444267542
file_76,157.4523656484161,0.01805387504485819
file_77,383.56162285728345,0.03920035792947643
file_78,216.29431724650215,0.02898563626038411
file_79,464.63147727240045,0.07295266363940088
file_8,437.7948053822529,0.06584157134063892
file_80,296.2843675921793,0.12218422860082825
file_81,629.2720357075103,1.6069632781249277
file_82,294.7686054926874,0.04095320574511451
file_83,456.1210933707802,0.0628557622362277
file_84,477.5688295083977,0.09502056955726247
file_85,467.4571107342558,0.165489750997631
file_86,256.0953340904763,0.09058010328621334
file_87,326.2067156438014,0.07648906844986318
file_88,365.1624473081097,0.07470669653277379
file_89,280.45368183157024,0.07763369218302037
file_9,302.78708667139335,0.10820433537433469
file_90,352.69070773881396,0.043605452836498027
file_91,527.6619281374918,0.2590036251696013
file_92,282.51583467225464,0.23571784808813362
file_93,674.2140510302884,0.9760883504093703
file_94,243.92960433660676,0.08322167029633751
file_95,287.2215618676611,0.30924948630325105
file_96,273.58221701401817,0.0623302631319379
file_97,193.10918748650687,0.028541651686202693
file_98,356.3566931616256,0.2459991167908729
file_99,239.3634687875218,0.04987606383237394
