,medicine_unigram,medicine_bigram
file_240,302.26028293115417,0.05658287861686226
file_241,219.66882387945148,0.1052151872796605
file_242,312.2904028388541,0.04676373888507606
file_243,510.00181453866026,0.049899718000911815
file_244,360.90876149625603,0.04604502619629755
file_245,225.9658249623676,0.04277837213041382
file_246,274.1606330837417,0.054194024840130445
file_247,261.17922874504103,0.06762744900283939
file_248,252.72277891684743,0.10543781213982638
file_249,267.66513268514444,0.1179231227311579
file_25,162.92211513987428,0.017278830942837727
file_26,439.33086730762074,0.08334208024519356
file_27,369.69770672831373,0.039963539004000154
file_28,280.4616546718622,0.1478457862571097
file_29,396.65617251667976,0.07525937513548296
file_3,465.3051154238482,0.06662270877556813
file_30,229.1423702070299,0.027541935465300312
file_31,188.20259208613405,0.0671957192214278
file_32,231.9471223479908,0.05702082714462253
file_33,244.80992505210938,0.1382026343923959
file_34,227.23768240210728,0.11413287143872627
file_35,277.35665476463606,0.23135389864698686
file_36,258.64765866588175,0.07471289317707841
file_37,240.77851643216067,0.09676759529107276
file_38,373.86852484475344,0.07264583780818805
file_39,279.70512475025185,0.06613298902711581
file_4,383.8788357693344,0.2214313676377332
file_40,450.50708042132095,1.0225438890372478
file_41,362.2860428406147,0.033428832578106686
file_42,238.3080836315915,0.03940323118611229
file_43,293.9891103375783,0.04682351569529714
file_44,340.5424129181836,0.19662892321021413
file_45,389.1720048395115,0.0744229258477335
file_46,257.53175731253856,0.03807860420053955
file_47,155.20444427825862,0.14467487321674496
file_48,425.8944375620597,0.15759959202860457
file_49,276.95702989508595,0.07617788398222172
file_5,258.9410871644896,0.046209751684916124
file_50,323.4346835145347,0.05897410953718999
file_51,285.848360692331,0.21247353791352563
file_52,255.0615533485332,0.05361632333025477
file_52,184.93593478091785,0.1844747730252268
file_53,303.16001152822037,0.054053061355157826
file_54,289.6580316381659,0.07984940695987522
file_55,488.3611378738814,0.08260903728406287
file_56,244.94855080726308,0.06397292337834432
file_57,273.7859214562973,0.08620417347536817
file_58,260.0935164854291,0.16967664479301303
file_59,250.71271486069227,0.05730985165285433
file_6,290.4522417259416,0.06061012521161059
file_60,348.116683013973,0.12633067961391134
file_61,289.1911397579324,0.06272837098123192
file_62,571.3226825416011,0.48837353224270147
file_63,444.33622568552687,0.041626744088998725
file_64,269.03521778387204,0.04753221809124848
file_65,236.11193988396576,0.054220140329547015
file_66,390.61268225441586,0.025575991777888156
file_67,321.59600776207174,0.0684235255720728
file_68,337.0730161066919,0.10535230180611899
file_69,776.2970796072149,0.6553848632559209
file_7,276.6998355209892,0.012133411186602485
file_70,386.11181737504774,0.021138642236270815
file_71,325.8234766562577,0.029106884350599722
file_72,185.3954566264083,0.23041931344801297
file_73,313.9189559589231,0.06645025045682589
file_74,287.98372473153034,0.09951816746851516
file_75,359.29351614904056,0.20050525528496232
file_76,165.2987916324139,0.02088625723917892
file_77,342.5727966226749,0.05308709526235713
file_78,176.53751592025804,0.046914814289537046
file_79,322.7714137280972,0.08038215861891045
file_8,321.47344587044677,0.04533270323348669
file_80,273.21904099791266,0.15727598387206676
file_81,259.59199867987394,0.07850572558097382
file_82,199.7804172531137,0.213611019202037
file_83,389.01093838672347,0.08852071377575398
file_84,369.790743302229,0.03703979699093068
file_85,350.94898204945315,0.10062703482889578
file_86,370.4228553834591,0.12658213042789723
file_87,260.74975576024224,0.047278228103351944
file_88,349.29023190859107,0.07237014834789648
file_89,263.8811731840898,0.055877413921738985
file_9,372.77628958698466,0.293153379882866
file_90,368.57910134682805,0.020462066704941256
file_91,305.75665669332733,0.026035294397514567
file_92,269.39219543923696,0.16275248702097597
file_93,643.0183131214309,0.05651839483175029
file_94,252.96131377502863,0.09110391625610392
file_95,444.0938865350129,0.011966169265765008
file_96,445.0522105949219,0.1560679093004
file_97,178.7631319492033,0.030338442605284933
file_98,464.48963992872217,0.25810769928135957
file_99,174.54212537529358,0.06662412207521487
