,medicine_unigram,medicine_bigram,medicine_interpolation
file_147,207.21913100062775,0.15100657055081068,0.16333171828992135
file_148,284.04613666708616,0.12041179486958699,0.1345308222734965
file_149,409.12424742132106,0.1041156005255192,0.11805833914646469
file_15,343.7243812342904,0.04154090680902122,0.04616092904490689
file_150,157.96176976811617,0.019992664826993176,0.02419999432710476
file_151,187.8297011042434,0.05353156119356292,0.06316061553888684
file_152,241.98168377831547,0.028490626108004836,0.03355808066194304
file_153,268.4608134783308,0.036671673572162375,0.04091743608326722
file_154,261.3049118803667,0.0730328688934052,0.08092939658519759
file_155,278.2718798353457,0.09468532066228721,0.10949375266776457
file_156,246.15437121360867,0.039031227645160566,0.04596555378927723
file_157,209.3882658541335,0.029096576402297878,0.03529686090869897
file_158,294.6374772890922,0.027655315250211022,0.03182073913131861
file_159,300.6665283451713,0.06828934407030904,0.07633186647926724
file_16,237.077145717608,0.08163566409542189,0.09037405170696285
file_160,251.53697324246647,0.4152849260201741,0.45837638569353123
file_161,213.82455041193248,0.0201951187807669,0.02308664715355993
file_162,310.0043732832216,0.07560715334637116,0.08482138930539629
file_163,175.40535648521222,0.04308692005453079,0.049564722501864326
file_164,502.67692877985,0.1122398231869464,0.12585746986570992
file_165,135.50939218295716,0.1273919952371579,0.15427335907937278
file_166,285.76872694418245,0.08810672450565214,0.10042810224265074
file_167,285.3483724324602,0.07794432939037306,0.08834188847221551
file_168,357.40673950391766,0.09562286792232322,0.10660795864192912
file_169,217.27820896129623,0.0511396413208637,0.05878189679220233
file_17,279.24252724848236,0.0698503585782205,0.07897432687925003
file_170,375.9365461099045,0.15909751033317715,0.17149950352223794
file_171,284.57979159571687,0.05475138377449894,0.062220392586305906
file_172,325.11023476729173,0.05264608350298326,0.060328805166391185
file_173,271.0170348423816,0.09754331622274777,0.108033697806685
file_174,308.7495627560307,0.09106956110473108,0.10281961042116809
file_175,433.552505782553,0.14973578654421943,0.16521728228213486
file_176,404.71296398132625,0.04700598376407806,0.05528771176992438
file_177,223.86949357236878,0.05551195047737687,0.06347655206117268
file_178,330.6480881765939,0.08220355776675177,0.09061595079565186
file_179,259.2594876524204,0.08583500932349951,0.09721425708555602
file_18,206.11248665617677,0.17473382402690757,0.20825276887488647
file_180,162.53744002638655,0.035431456673993736,0.041241562574249414
file_181,242.20303494983287,0.02353896395841144,0.026571270293504794
file_182,394.3791314901291,0.21792710244657024,0.2373975701095724
file_183,357.8866273613003,0.08407879514866737,0.09238390167398719
file_184,209.26667733917225,0.06614003314002709,0.07603171577950525
file_185,321.2419865613883,0.06491810060428789,0.07390640861316328
file_186,450.5160630777984,0.17251209931780703,0.19434310611536093
