,space_unigram,space_bigram
file296,122.08246981777855,0.12562346275054015
file297,281.0465249127286,0.04511882124139911
file298,579.5892039953977,0.4235015442971854
file299,422.4220515078606,0.24828130473819116
,space_unigram,space_bigram
file240,426.3296508350426,0.0010672668954607317
file241,485.4077524398506,0.0009963153083569062
file242,473.32416275863534,0.0009426575261201486
file243,375.1555626515373,0.001010529238821476
file243,16.928542970014696,0.017906482002300838
file243,330.5472471533335,0.0013207570068191135
file244,691.8093219268231,0.000706089469143064
file245,531.80416851488,0.0007747957854724196
file246,409.9189290691486,0.0010436025057494248
file247,282.77287280128246,0.0016157639827163105
file248,473.3623314922347,0.0010557777795114338
file249,749.4743251762094,0.0006093376682000777
file250,750.0546389333377,0.000672890008748251
file251,432.53229570235715,0.000930843903425627
file252,483.1166563859363,0.0009240290007748966
file253,453.6486657913607,0.0009030078384577631
file254,483.59334635663964,0.0009078994161958792
file255,484.2867836096449,0.0008999488259443825
file256,611.644185035979,0.0007515221827979997
file257,464.09112652473647,0.0009519581700407153
file257,16.928542970014696,0.017906482002300838
file257,601.6017345300853,0.0007943114759594714
file258,477.91092876465177,0.000999743274693728
file259,534.8447731524918,0.0008390328145181096
file260,477.68168831856735,0.0008668442270906587
file261,402.1250364660382,0.0011335381057711086
file262,782.7766768894991,0.0006674825828887643
file263,956.8575067060299,0.0005884091880967022
file264,477.57261206680903,0.0008646255293295256
file265,720.19940405833,0.0006082662567189505
file266,626.1926623722064,0.0008147282313415916
file267,1128.4406710128933,0.0006294365529058791
file268,670.9851412155301,0.0007806080984856694
file269,449.1162394217046,0.0011023613050000563
file270,482.51467296290286,0.0008314052950660476
file271,534.8657725144532,0.000774518793163265
file272,426.44164361679145,0.0011135793754260953
file273,497.88532342930415,0.0008585644105694982
file274,616.0772125847255,0.0007103409430669797
file275,505.0417012087555,0.0009060537528087888
file276,351.5613128690683,0.0012651777206988523
file277,552.5837826913555,0.0009052653673346379
file278,263.1627563384371,0.0017042850866610287
file279,567.5190844598184,0.0007961082861578738
file280,699.3721270976794,0.000605514025290864
file281,535.9266655916301,0.0008515279206856374
file282,336.6215237183332,0.001409357293580935
file283,418.10730151507454,0.0012168325800797364
file284,349.244392246444,0.0012625771306949184
file285,354.8433993986862,0.0011616279169003488
file286,917.337973041442,0.0006004690510153371
file287,484.02790529344674,0.0009326361662722026
file288,358.52376496895073,0.0011496296601113348
file289,612.3778091986361,0.0007782818450353535
file290,747.888563213752,0.0005823437643455207
file291,591.9142492290565,0.0007328766256813287
file292,533.7770862458937,0.0008030755204118665
file293,650.7152952632885,0.000786728635263548
file294,589.0188994206081,0.0007911899324166635
file295,416.5725152298379,0.00108502409005317
file296,413.21866648819866,0.001231186757620444
file296,16.928542970014696,0.017906482002300838
file296,122.08246981777855,0.003726348638290392
file297,281.0465249127286,0.0014483386372012347
file298,579.5892039953977,0.000862974470775772
file299,422.4220515078606,0.0012501059369137094
,space_unigram,space_bigram
file240,426.3296508350426,0.0010672668954607317
file241,485.4077524398506,0.0009963153083569062
file242,473.32416275863534,0.0009426575261201486
file243,375.1555626515373,0.001010529238821476
file243,16.928542970014696,0.017906482002300838
file243,330.5472471533335,0.0013207570068191135
file244,691.8093219268231,0.000706089469143064
file245,531.80416851488,0.0007747957854724196
file246,409.9189290691486,0.0010436025057494248
file247,282.77287280128246,0.0016157639827163105
file248,473.3623314922347,0.0010557777795114338
file249,749.4743251762094,0.0006093376682000777
file250,750.0546389333377,0.000672890008748251
file251,432.53229570235715,0.000930843903425627
file252,483.1166563859363,0.0009240290007748966
file253,453.6486657913607,0.0009030078384577631
file254,483.59334635663964,0.0009078994161958792
file255,484.2867836096449,0.0008999488259443825
file256,611.644185035979,0.0007515221827979997
file257,464.09112652473647,0.0009519581700407153
file257,16.928542970014696,0.017906482002300838
file257,601.6017345300853,0.0007943114759594714
file258,477.91092876465177,0.000999743274693728
file259,534.8447731524918,0.0008390328145181096
file260,477.68168831856735,0.0008668442270906587
file261,402.1250364660382,0.0011335381057711086
file262,782.7766768894991,0.0006674825828887643
file263,956.8575067060299,0.0005884091880967022
file264,477.57261206680903,0.0008646255293295256
file265,720.19940405833,0.0006082662567189505
file266,626.1926623722064,0.0008147282313415916
file267,1128.4406710128933,0.0006294365529058791
file268,670.9851412155301,0.0007806080984856694
file269,449.1162394217046,0.0011023613050000563
file270,482.51467296290286,0.0008314052950660476
file271,534.8657725144532,0.000774518793163265
file272,426.44164361679145,0.0011135793754260953
file273,497.88532342930415,0.0008585644105694982
file274,616.0772125847255,0.0007103409430669797
file275,505.0417012087555,0.0009060537528087888
file276,351.5613128690683,0.0012651777206988523
file277,552.5837826913555,0.0009052653673346379
file278,263.1627563384371,0.0017042850866610287
file279,567.5190844598184,0.0007961082861578738
file280,699.3721270976794,0.000605514025290864
file281,535.9266655916301,0.0008515279206856374
file282,336.6215237183332,0.001409357293580935
file283,418.10730151507454,0.0012168325800797364
file284,349.244392246444,0.0012625771306949184
file285,354.8433993986862,0.0011616279169003488
file286,917.337973041442,0.0006004690510153371
file287,484.02790529344674,0.0009326361662722026
file288,358.52376496895073,0.0011496296601113348
file289,612.3778091986361,0.0007782818450353535
file290,747.888563213752,0.0005823437643455207
file291,591.9142492290565,0.0007328766256813287
file292,533.7770862458937,0.0008030755204118665
file293,650.7152952632885,0.000786728635263548
file294,589.0188994206081,0.0007911899324166635
file295,416.5725152298379,0.00108502409005317
file296,413.21866648819866,0.001231186757620444
